,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc2_weight[0, 20]",0.19,0.252,-0.266,0.601,0.118,0.089,5.0,23.0,2.18
"fc2_weight[0, 21]",-0.172,0.35,-0.686,0.501,0.169,0.129,5.0,25.0,2.71
"fc2_weight[0, 22]",-0.147,0.276,-0.624,0.158,0.134,0.102,5.0,14.0,2.65
"fc2_weight[0, 23]",-0.066,0.394,-0.777,0.486,0.193,0.147,5.0,24.0,2.76
"fc2_weight[0, 24]",0.172,0.26,-0.322,0.578,0.122,0.093,5.0,28.0,2.35
"fc2_weight[0, 25]",-0.139,0.363,-0.552,0.51,0.177,0.135,5.0,28.0,2.32
"fc2_weight[0, 26]",-0.162,0.246,-0.439,0.297,0.12,0.092,5.0,24.0,2.06
"fc2_weight[0, 27]",0.005,0.709,-1.03,1.209,0.346,0.264,5.0,30.0,2.61
fc2_weight_precision,8.539,4.313,2.277,16.397,1.706,1.266,6.0,49.0,1.65
noise_precision,41.031,3.655,33.992,47.405,1.097,0.797,11.0,83.0,1.26
nu,4.673,0.799,3.402,6.193,0.251,0.183,11.0,35.0,1.27
