,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[13, 2]",1.316,3.798,-1.607,11.36,1.113,0.807,9.0,23.0,1.66
"fc1_weight[13, 3]",-1.474,8.592,-19.482,13.832,3.732,2.799,5.0,18.0,1.99
"fc1_weight[14, 0]",-1.93,18.643,-27.615,24.682,9.1,6.943,5.0,15.0,2.03
"fc1_weight[14, 1]",3.147,13.697,-21.325,19.963,6.692,5.107,5.0,26.0,2.17
"fc1_weight[14, 2]",0.093,0.2,-0.252,0.457,0.075,0.055,7.0,24.0,1.51
"fc1_weight[14, 3]",-0.349,0.69,-1.66,0.768,0.288,0.215,6.0,27.0,1.77
"fc1_weight[15, 0]",-1.823,10.873,-16.136,19.79,5.086,3.855,5.0,32.0,2.19
"fc1_weight[15, 1]",1.688,11.467,-19.154,18.002,5.142,3.873,6.0,27.0,1.89
"fc1_weight[15, 2]",-0.141,0.704,-1.505,0.71,0.296,0.221,7.0,76.0,1.59
"fc1_weight[15, 3]",-1.486,7.342,-15.001,14.269,3.081,2.301,5.0,11.0,2.22
"fc1_weight[16, 0]",2.115,9.356,-14.581,15.416,4.298,3.249,5.0,25.0,2.08
"fc1_weight[16, 1]",4.853,12.039,-14.175,22.954,5.718,4.344,5.0,22.0,2.52
"fc1_weight[16, 2]",1.657,3.477,-1.128,9.039,1.427,1.063,6.0,16.0,1.84
"fc1_weight[16, 3]",-6.748,5.789,-17.61,-1.128,2.326,1.729,5.0,31.0,2.03
"fc1_weight[17, 0]",-1.004,8.952,-16.927,13.26,4.201,3.185,5.0,29.0,2.66
"fc1_weight[17, 1]",-6.149,10.64,-20.002,12.505,5.069,3.852,5.0,26.0,1.99
"fc1_weight[17, 2]",0.075,0.187,-0.318,0.382,0.065,0.048,10.0,37.0,1.33
"fc1_weight[17, 3]",-0.552,1.224,-3.061,1.019,0.537,0.404,5.0,32.0,2.01
"fc1_weight[18, 0]",0.674,5.481,-8.538,10.907,1.905,1.398,9.0,94.0,1.36
"fc1_weight[18, 1]",2.284,10.377,-16.165,20.656,4.48,3.358,6.0,24.0,1.92
"fc1_weight[18, 2]",3.618,4.428,-0.742,11.881,1.878,1.405,6.0,57.0,1.96
"fc1_weight[18, 3]",3.674,7.5,-9.586,15.737,2.957,2.194,8.0,83.0,1.45
"fc1_weight[19, 0]",-5.735,8.223,-18.023,10.011,3.535,2.648,6.0,21.0,1.75
"fc1_weight[19, 1]",-0.534,11.797,-17.063,21.612,5.564,4.222,6.0,24.0,1.77
"fc1_weight[19, 2]",-0.954,2.363,-6.132,0.667,0.949,0.705,6.0,31.0,1.81
"fc1_weight[19, 3]",-4.323,5.667,-16.399,1.671,2.651,2.009,5.0,20.0,2.32
"fc1_weight[20, 0]",-3.134,6.792,-13.841,8.406,2.792,2.081,7.0,30.0,1.66
"fc1_weight[20, 1]",-1.367,10.778,-21.632,14.076,4.91,3.707,6.0,29.0,1.89
"fc1_weight[20, 2]",-0.803,5.816,-16.637,7.49,1.962,1.436,8.0,12.0,1.95
"fc1_weight[20, 3]",-0.433,5.04,-14.313,5.371,1.947,1.441,7.0,20.0,2.12
"fc1_weight[21, 0]",4.896,7.675,-7.691,20.008,3.312,2.482,5.0,25.0,2.12
"fc1_weight[21, 1]",-7.241,11.643,-26.272,15.985,5.247,3.955,5.0,33.0,2.04
"fc1_weight[21, 2]",0.075,0.625,-0.459,0.539,0.078,0.056,25.0,124.0,1.11
"fc1_weight[21, 3]",-2.465,2.989,-9.236,1.702,1.178,0.874,6.0,18.0,1.95
"fc1_weight[22, 0]",5.378,6.071,-4.8,16.428,2.39,1.854,7.0,32.0,1.56
"fc1_weight[22, 1]",-2.47,10.102,-13.421,18.944,4.647,3.513,6.0,26.0,1.73
"fc1_weight[22, 2]",3.223,6.285,-1.037,17.045,2.908,2.201,6.0,20.0,2.19
"fc1_weight[22, 3]",-1.7,6.141,-14.245,7.22,2.899,2.2,5.0,25.0,2.78
"fc1_weight[23, 0]",3.807,11.318,-13.877,22.739,5.277,3.998,5.0,27.0,2.31
"fc1_weight[23, 1]",-2.84,6.144,-13.704,9.708,2.326,1.719,7.0,18.0,1.56
"fc1_weight[23, 2]",0.392,1.334,-1.129,4.362,0.547,0.408,7.0,15.0,1.66
"fc1_weight[23, 3]",-1.42,7.379,-15.843,7.953,2.923,2.17,6.0,30.0,1.8
"fc1_weight[24, 0]",6.388,11.142,-12.838,22.371,5.298,4.026,5.0,16.0,2.14
"fc1_weight[24, 1]",7.936,5.926,-3.128,17.819,2.563,1.922,6.0,24.0,1.88
"fc1_weight[24, 2]",-0.131,0.291,-0.673,0.43,0.108,0.079,7.0,31.0,1.57
"fc1_weight[24, 3]",2.69,5.469,-2.69,14.635,2.595,1.971,5.0,41.0,2.08
"fc1_weight[25, 0]",-7.342,12.873,-24.285,16.711,6.197,4.718,5.0,30.0,2.19
"fc1_weight[25, 1]",8.267,12.168,-8.954,27.058,5.768,4.38,5.0,22.0,2.29
"fc1_weight[25, 2]",0.039,0.133,-0.217,0.281,0.039,0.028,12.0,55.0,1.25
"fc1_weight[25, 3]",-0.594,0.901,-2.464,0.749,0.399,0.3,6.0,18.0,1.79
"fc1_weight[26, 0]",8.546,7.402,-6.4,23.746,2.65,1.949,8.0,26.0,1.48
"fc1_weight[26, 1]",-6.273,12.83,-31.558,12.212,5.993,4.541,5.0,23.0,2.11
"fc1_weight[26, 2]",1.346,3.308,-0.729,10.252,1.191,0.876,11.0,19.0,1.46
"fc1_weight[26, 3]",-1.814,5.813,-13.951,7.281,2.305,1.711,7.0,12.0,1.81
"fc1_weight[27, 0]",-5.382,5.018,-14.714,6.015,1.563,1.138,9.0,27.0,1.37
"fc1_weight[27, 1]",11.538,7.798,-3.589,25.003,3.22,2.401,6.0,18.0,1.82
"fc1_weight[27, 2]",-0.083,1.359,-0.837,0.983,0.248,0.177,11.0,19.0,1.29
