,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],5.783,23.421,-28.057,51.655,11.44,8.73,5.0,18.0,2.99
fc1_bias[1],-2.684,4.307,-10.863,2.891,1.926,1.451,5.0,35.0,2.35
fc1_bias[2],-3.878,19.301,-29.529,35.221,9.343,7.12,5.0,26.0,2.33
fc1_bias[3],-3.108,6.444,-14.732,4.235,2.734,2.045,7.0,29.0,1.7
fc1_bias[4],-12.666,16.148,-41.328,7.436,7.459,5.643,5.0,14.0,2.36
fc1_bias[5],-13.389,10.189,-28.954,2.403,4.642,3.504,5.0,33.0,2.0
fc1_bias[6],4.723,18.892,-17.075,42.898,9.115,6.942,5.0,26.0,2.21
fc1_bias[7],-3.298,22.523,-45.79,24.262,11.067,8.454,5.0,24.0,2.8
fc1_bias[8],-3.275,9.883,-18.351,12.207,4.77,3.633,5.0,25.0,2.51
fc1_bias[9],-12.209,11.589,-31.159,5.233,5.381,4.074,5.0,27.0,2.34
fc1_bias[10],-2.27,14.655,-30.06,17.069,7.192,5.493,5.0,30.0,2.79
fc1_bias[11],5.685,22.297,-18.096,51.948,10.827,8.255,5.0,19.0,2.14
fc1_bias[12],1.004,10.487,-17.717,17.69,5.146,3.93,5.0,21.0,2.97
fc1_bias[13],-4.384,10.336,-22.135,12.699,5.065,3.868,5.0,18.0,2.81
fc1_bias[14],3.69,7.771,-9.337,16.929,3.708,2.819,5.0,17.0,2.52
fc1_bias[15],-6.565,12.331,-27.135,10.769,5.864,4.456,5.0,15.0,2.55
fc1_bias[16],-1.016,12.401,-26.265,18.178,5.738,4.342,5.0,25.0,2.31
fc1_bias[17],-3.416,9.376,-18.4,14.508,4.235,3.193,6.0,17.0,1.98
fc1_bias[18],-7.521,13.177,-39.817,10.608,5.81,4.367,6.0,12.0,1.81
fc1_bias[19],7.07,13.95,-17.205,27.103,6.827,5.212,5.0,15.0,2.84
fc1_bias[20],-5.166,14.235,-32.819,18.547,6.676,5.062,5.0,25.0,2.9
fc1_bias[21],8.359,10.173,-7.861,26.51,4.94,3.767,5.0,29.0,2.76
fc1_bias[22],9.694,12.208,-13.49,27.76,5.95,4.539,5.0,18.0,2.65
fc1_bias[23],-2.005,9.336,-16.229,14.488,4.526,3.45,5.0,27.0,2.67
fc1_bias[24],1.72,4.028,-2.045,9.455,1.879,1.423,5.0,21.0,2.74
fc1_bias[25],1.914,11.581,-24.09,18.151,5.223,3.937,5.0,27.0,2.28
fc1_bias[26],0.965,2.796,-4.078,4.683,1.369,1.045,5.0,29.0,2.52
fc1_bias[27],-12.125,5.822,-20.314,-1.8,2.239,1.657,7.0,13.0,1.54
fc1_bias_precision,0.005,0.002,0.002,0.009,0.0,0.0,23.0,38.0,1.11
"fc1_weight[0, 0]",3.824,5.032,-4.566,12.444,2.381,1.808,5.0,12.0,2.51
"fc1_weight[0, 1]",1.067,14.07,-18.908,25.088,6.898,5.268,5.0,12.0,2.82
"fc1_weight[0, 2]",0.132,0.274,-0.432,0.578,0.121,0.091,6.0,36.0,1.84
"fc1_weight[0, 3]",-2.15,7.53,-18.333,6.854,3.613,2.749,5.0,17.0,3.11
"fc1_weight[1, 0]",12.265,6.286,3.42,23.663,2.419,1.79,6.0,28.0,1.74
"fc1_weight[1, 1]",-0.079,7.855,-15.078,12.097,3.524,2.654,6.0,37.0,1.87
"fc1_weight[1, 2]",-0.051,0.401,-0.786,0.598,0.091,0.066,13.0,30.0,1.45
"fc1_weight[1, 3]",3.895,8.243,-1.748,22.573,3.722,2.806,6.0,34.0,1.92
"fc1_weight[2, 0]",6.564,14.782,-14.106,29.659,7.113,5.415,5.0,38.0,2.07
"fc1_weight[2, 1]",0.647,12.774,-15.581,27.263,6.165,4.696,5.0,28.0,2.37
"fc1_weight[2, 2]",0.192,0.338,-0.273,0.921,0.144,0.108,6.0,21.0,1.9
"fc1_weight[2, 3]",0.431,1.63,-1.804,3.167,0.743,0.561,6.0,45.0,1.87
"fc1_weight[3, 0]",-3.959,8.572,-20.426,9.387,3.759,2.823,6.0,23.0,1.68
"fc1_weight[3, 1]",3.989,8.693,-9.73,21.295,3.807,2.859,6.0,28.0,1.66
"fc1_weight[3, 2]",8.613,14.106,-3.272,37.72,6.602,5.004,5.0,11.0,2.28
"fc1_weight[3, 3]",-6.876,7.032,-19.309,1.044,3.09,2.322,5.0,18.0,2.33
"fc1_weight[4, 0]",16.932,15.088,-2.125,48.989,6.236,4.65,7.0,69.0,1.53
"fc1_weight[4, 1]",2.632,11.149,-17.349,22.785,4.772,3.573,6.0,11.0,1.93
"fc1_weight[4, 2]",-0.184,0.501,-0.905,0.612,0.148,0.108,8.0,71.0,1.48
"fc1_weight[4, 3]",-5.338,4.91,-13.912,1.599,2.144,1.609,5.0,29.0,2.18
"fc1_weight[5, 0]",-0.417,14.427,-24.49,22.977,6.902,5.249,5.0,26.0,2.49
"fc1_weight[5, 1]",5.504,4.919,-2.056,14.461,1.963,1.458,6.0,33.0,1.76
"fc1_weight[5, 2]",-0.205,0.578,-1.225,0.759,0.246,0.184,6.0,30.0,1.87
"fc1_weight[5, 3]",-5.995,4.679,-14.094,-0.075,2.001,1.498,6.0,53.0,1.81
"fc1_weight[6, 0]",11.702,9.749,-4.709,28.055,3.704,2.738,8.0,36.0,1.49
"fc1_weight[6, 1]",9.584,13.27,-13.006,31.555,5.649,4.227,6.0,36.0,1.79
"fc1_weight[6, 2]",0.415,0.581,-0.417,1.639,0.172,0.125,11.0,40.0,1.29
"fc1_weight[6, 3]",-1.179,5.435,-10.004,8.874,2.486,1.878,5.0,22.0,2.01
"fc1_weight[7, 0]",-1.945,14.068,-29.749,17.116,6.833,5.209,5.0,25.0,2.71
"fc1_weight[7, 1]",-0.588,24.356,-30.473,43.657,11.927,9.106,5.0,25.0,2.34
"fc1_weight[7, 2]",0.127,0.308,-0.43,0.628,0.136,0.102,5.0,30.0,2.01
"fc1_weight[7, 3]",-1.674,3.512,-8.608,1.862,1.674,1.272,5.0,21.0,2.05
"fc1_weight[8, 0]",2.955,9.231,-13.029,15.773,4.407,3.351,5.0,13.0,2.46
"fc1_weight[8, 1]",-2.306,13.686,-23.316,19.811,6.648,5.069,5.0,13.0,2.93
"fc1_weight[8, 2]",1.022,2.216,-0.766,5.607,1.016,0.767,5.0,29.0,2.77
"fc1_weight[8, 3]",-5.197,8.919,-23.743,1.168,4.171,3.161,5.0,24.0,2.76
"fc1_weight[9, 0]",7.87,17.287,-21.68,36.26,8.218,6.244,5.0,24.0,2.51
"fc1_weight[9, 1]",0.113,4.306,-7.528,7.317,1.813,1.355,6.0,40.0,1.81
"fc1_weight[9, 2]",-0.024,0.296,-0.495,0.456,0.095,0.069,8.0,33.0,1.43
"fc1_weight[9, 3]",-5.449,8.558,-23.541,1.368,4.074,3.096,6.0,19.0,1.65
"fc1_weight[10, 0]",-8.132,11.809,-29.467,8.43,5.661,4.306,5.0,22.0,2.75
"fc1_weight[10, 1]",-5.923,10.482,-26.943,9.336,5.002,3.803,5.0,26.0,2.07
"fc1_weight[10, 2]",-0.071,0.173,-0.436,0.184,0.044,0.032,15.0,79.0,1.19
"fc1_weight[10, 3]",0.034,1.386,-2.259,2.668,0.63,0.475,5.0,28.0,2.3
"fc1_weight[11, 0]",-2.31,6.135,-14.343,7.35,2.103,1.542,10.0,29.0,1.38
"fc1_weight[11, 1]",10.231,11.522,-10.092,30.11,5.116,3.848,6.0,19.0,1.92
"fc1_weight[11, 2]",0.512,2.32,-0.984,4.898,0.254,0.37,10.0,12.0,1.4
"fc1_weight[11, 3]",1.464,5.102,-5.221,13.814,2.204,1.652,5.0,14.0,2.41
"fc1_weight[12, 0]",10.142,11.936,-11.901,27.657,5.721,4.353,5.0,28.0,2.25
"fc1_weight[12, 1]",-4.913,17.883,-27.302,28.702,8.735,6.666,5.0,29.0,2.4
"fc1_weight[12, 2]",-0.077,0.156,-0.401,0.177,0.059,0.044,7.0,39.0,1.5
"fc1_weight[12, 3]",-0.17,0.855,-1.777,1.168,0.37,0.278,5.0,28.0,2.02
"fc1_weight[13, 0]",2.341,14.682,-22.786,22.87,7.257,5.549,5.0,18.0,2.93
"fc1_weight[13, 1]",-2.892,18.568,-36.003,18.311,9.165,7.006,5.0,17.0,2.43
"fc1_weight[13, 2]",-0.119,0.085,-0.279,0.03,0.003,0.005,352.0,865.0,1.02
"fc1_weight[13, 3]",-0.223,0.571,-1.299,0.863,0.194,0.142,7.0,28.0,1.53
"fc1_weight[14, 0]",-2.966,6.324,-13.305,7.238,2.973,2.255,5.0,37.0,2.28
"fc1_weight[14, 1]",-4.861,12.956,-24.157,17.824,6.231,4.743,5.0,29.0,2.29
"fc1_weight[14, 2]",-0.145,0.428,-0.943,0.492,0.184,0.137,6.0,25.0,1.86
"fc1_weight[14, 3]",-3.955,6.58,-15.865,4.1,3.06,2.317,5.0,13.0,2.76
"fc1_weight[15, 0]",4.547,7.614,-7.369,17.333,3.497,2.643,5.0,27.0,1.99
"fc1_weight[15, 1]",-14.108,6.76,-25.099,-0.819,2.781,2.073,6.0,18.0,1.7
"fc1_weight[15, 2]",-0.282,0.704,-1.378,0.545,0.217,0.158,6.0,11.0,1.84
"fc1_weight[15, 3]",-4.276,6.909,-21.018,0.776,3.147,2.376,6.0,11.0,2.02
"fc1_weight[16, 0]",-7.521,9.542,-27.343,8.02,4.284,3.228,5.0,13.0,2.25
"fc1_weight[16, 1]",9.309,8.01,-0.993,25.666,3.441,2.578,6.0,27.0,1.76
"fc1_weight[16, 2]",0.232,0.833,-1.126,1.98,0.342,0.255,5.0,12.0,2.08
"fc1_weight[16, 3]",-0.573,4.145,-8.742,6.004,1.615,1.196,5.0,11.0,2.08
"fc1_weight[17, 0]",1.96,12.428,-20.707,20.042,5.791,4.387,5.0,25.0,1.97
"fc1_weight[17, 1]",-2.745,12.981,-26.194,18.754,6.126,4.649,5.0,21.0,2.53
"fc1_weight[17, 2]",-3.009,7.969,-19.706,10.652,3.733,2.83,6.0,13.0,1.9
"fc1_weight[17, 3]",5.641,4.829,-0.865,14.52,2.008,1.499,5.0,22.0,2.12
"fc1_weight[18, 0]",0.927,9.799,-17.826,19.614,4.061,3.029,6.0,15.0,1.74
"fc1_weight[18, 1]",3.559,10.965,-14.05,30.334,4.618,3.451,6.0,11.0,1.78
"fc1_weight[18, 2]",0.27,4.659,-2.419,14.85,0.783,1.225,12.0,12.0,1.52
"fc1_weight[18, 3]",1.392,8.687,-11.01,18.127,3.737,2.8,7.0,35.0,1.71
"fc1_weight[19, 0]",-3.982,10.003,-23.831,8.115,4.824,3.674,5.0,31.0,2.25
"fc1_weight[19, 1]",5.796,19.628,-23.089,35.738,9.584,7.314,5.0,15.0,2.63
"fc1_weight[19, 2]",0.389,0.285,-0.107,0.923,0.097,0.071,7.0,28.0,1.51
"fc1_weight[19, 3]",-1.625,5.147,-13.033,3.672,2.339,1.765,5.0,15.0,2.24
"fc1_weight[20, 0]",-4.295,4.821,-13.935,2.541,2.114,1.588,6.0,28.0,1.83
"fc1_weight[20, 1]",-2.748,12.342,-22.154,16.889,5.888,4.476,5.0,26.0,2.24
"fc1_weight[20, 2]",-0.123,0.509,-1.12,0.76,0.183,0.135,7.0,17.0,1.55
"fc1_weight[20, 3]",2.776,9.283,-14.124,19.607,4.404,3.345,5.0,30.0,2.5
"fc1_weight[21, 0]",0.297,12.697,-22.178,21.445,6.045,4.594,5.0,27.0,2.51
"fc1_weight[21, 1]",7.303,7.238,-4.274,21.14,3.253,2.452,5.0,27.0,2.01
"fc1_weight[21, 2]",-4.778,9.203,-24.114,0.911,4.271,3.233,5.0,29.0,2.62
"fc1_weight[21, 3]",3.697,2.253,0.747,7.989,0.832,0.614,6.0,28.0,1.73
"fc1_weight[22, 0]",10.903,8.146,-3.501,23.286,3.723,2.812,5.0,30.0,1.97
"fc1_weight[22, 1]",4.857,7.964,-6.889,20.852,3.785,2.875,5.0,14.0,2.57
"fc1_weight[22, 2]",0.126,0.259,-0.338,0.6,0.088,0.064,7.0,25.0,1.54
"fc1_weight[22, 3]",1.226,3.051,-5.046,4.957,1.414,1.071,6.0,27.0,1.94
"fc1_weight[23, 0]",-2.485,13.492,-29.972,14.775,6.473,4.925,5.0,21.0,2.49
"fc1_weight[23, 1]",-10.372,7.839,-24.908,3.522,3.524,2.656,5.0,26.0,2.22
"fc1_weight[23, 2]",0.078,0.27,-0.488,0.592,0.105,0.078,6.0,23.0,1.78
"fc1_weight[23, 3]",1.427,0.901,0.312,3.137,0.317,0.233,7.0,35.0,1.57
"fc1_weight[24, 0]",1.297,13.116,-11.348,28.349,6.298,4.792,5.0,18.0,2.17
"fc1_weight[24, 1]",8.884,3.864,2.615,16.007,1.624,1.213,6.0,29.0,1.88
"fc1_weight[24, 2]",0.082,0.208,-0.238,0.37,0.069,0.051,7.0,39.0,1.51
"fc1_weight[24, 3]",0.926,2.098,-2.915,4.742,0.9,0.674,6.0,28.0,2.07
"fc1_weight[25, 0]",10.384,15.389,-15.235,32.699,7.094,5.365,6.0,39.0,1.81
"fc1_weight[25, 1]",-3.548,10.746,-24.122,11.822,4.779,3.596,6.0,33.0,1.74
"fc1_weight[25, 2]",-0.584,7.278,-17.277,13.387,2.99,2.228,6.0,23.0,1.81
"fc1_weight[25, 3]",-0.728,6.436,-15.288,10.458,2.668,1.99,5.0,29.0,2.07
"fc1_weight[26, 0]",-3.02,7.803,-12.845,12.094,3.773,2.875,5.0,24.0,2.31
"fc1_weight[26, 1]",9.8,11.266,-4.828,31.83,5.434,4.138,5.0,28.0,2.78
"fc1_weight[26, 2]",0.031,0.127,-0.237,0.235,0.051,0.038,6.0,28.0,1.68
"fc1_weight[26, 3]",-1.322,1.306,-3.697,0.425,0.601,0.455,5.0,19.0,2.48
"fc1_weight[27, 0]",-0.511,15.082,-28.577,20.027,7.181,5.457,5.0,26.0,2.26
"fc1_weight[27, 1]",-10.233,13.662,-30.805,11.892,6.594,5.022,5.0,24.0,2.49
"fc1_weight[27, 2]",-0.043,0.332,-0.739,0.551,0.145,0.109,5.0,16.0,2.06
"fc1_weight[27, 3]",0.379,2.073,-4.748,3.369,0.966,0.732,5.0,11.0,2.03
fc1_weight_precision,0.01,0.003,0.004,0.017,0.001,0.001,7.0,19.0,1.49
fc2_bias[0],0.194,0.139,-0.068,0.48,0.032,0.024,15.0,28.0,1.19
fc2_bias_precision,1.453,1.178,0.007,3.59,0.015,0.011,3889.0,3551.0,1.0
"fc2_weight[0, 0]",0.128,0.52,-0.645,0.829,0.25,0.191,5.0,12.0,2.25
"fc2_weight[0, 1]",0.244,0.453,-0.413,1.064,0.22,0.168,5.0,22.0,2.92
"fc2_weight[0, 2]",0.158,0.513,-0.43,1.007,0.25,0.191,5.0,19.0,2.46
"fc2_weight[0, 3]",0.078,0.283,-0.33,0.61,0.134,0.102,5.0,21.0,2.66
"fc2_weight[0, 4]",-0.026,0.225,-0.376,0.277,0.109,0.083,5.0,35.0,2.59
"fc2_weight[0, 5]",0.043,0.279,-0.385,0.394,0.137,0.105,5.0,14.0,2.62
"fc2_weight[0, 6]",-0.217,0.101,-0.435,-0.067,0.041,0.031,6.0,13.0,1.94
"fc2_weight[0, 7]",0.26,0.487,-0.603,0.897,0.235,0.179,5.0,29.0,2.16
"fc2_weight[0, 8]",-0.086,0.569,-0.794,1.045,0.279,0.213,5.0,19.0,2.58
"fc2_weight[0, 9]",-0.269,0.346,-0.756,0.33,0.164,0.124,5.0,15.0,2.27
"fc2_weight[0, 10]",0.295,0.831,-0.844,1.828,0.409,0.312,5.0,20.0,3.06
"fc2_weight[0, 11]",0.41,0.362,-0.203,0.977,0.174,0.132,5.0,25.0,2.53
"fc2_weight[0, 12]",0.318,0.472,-0.446,1.203,0.228,0.173,5.0,12.0,2.85
"fc2_weight[0, 13]",0.179,0.643,-0.656,1.392,0.313,0.239,5.0,24.0,2.52
"fc2_weight[0, 14]",0.034,0.365,-0.701,0.435,0.179,0.136,5.0,14.0,2.91
"fc2_weight[0, 15]",-0.126,0.231,-0.416,0.317,0.109,0.083,6.0,19.0,1.83
"fc2_weight[0, 16]",-0.286,0.208,-0.916,-0.036,0.072,0.053,7.0,11.0,1.62
"fc2_weight[0, 17]",0.144,0.241,-0.209,0.557,0.113,0.086,5.0,27.0,2.4
"fc2_weight[0, 18]",0.017,0.241,-0.326,0.388,0.11,0.083,6.0,35.0,1.94
"fc2_weight[0, 19]",0.113,0.53,-0.779,0.927,0.257,0.196,5.0,15.0,2.49
"fc2_weight[0, 20]",0.186,0.308,-0.37,0.586,0.15,0.115,5.0,16.0,2.61
"fc2_weight[0, 21]",0.017,0.486,-0.619,0.957,0.239,0.183,5.0,17.0,3.05
"fc2_weight[0, 22]",-0.021,0.557,-0.898,0.939,0.272,0.207,5.0,13.0,2.8
"fc2_weight[0, 23]",0.379,0.201,0.109,0.749,0.092,0.069,5.0,19.0,2.22
"fc2_weight[0, 24]",0.14,0.479,-0.521,0.833,0.235,0.179,5.0,16.0,2.5
"fc2_weight[0, 25]",0.172,0.169,-0.12,0.479,0.078,0.059,5.0,14.0,2.52
"fc2_weight[0, 26]",-0.332,0.345,-0.712,0.298,0.167,0.127,6.0,30.0,1.8
"fc2_weight[0, 27]",0.128,0.569,-0.602,1.207,0.277,0.211,5.0,22.0,2.48
fc2_weight_precision,3.826,1.304,1.578,6.189,0.298,0.214,17.0,91.0,1.15
noise_precision,26.211,1.349,23.768,28.711,0.494,0.364,8.0,38.0,1.46
