Z,A,pairing,shell,Mexp,Mth_ws4,ws4_residuals
14,32,1.0,1.5,-24.0777,-23.6689,-0.4087999999999994
15,32,-1.0,1.875,-24.3049,-23.6176,-0.6873000000000005
16,32,1.0,2.0,-26.0155,-26.6489,0.6334000000000017
17,32,-1.0,1.875,-13.3347,-12.7329,-0.601799999999999
18,32,1.0,1.5,-2.2004,-1.4816,-0.7188000000000001
12,33,0.0,0.8,4.9629,5.6201,-0.6571999999999996
13,33,0.0,0.0,-8.4974,-9.2165,0.7190999999999992
14,33,0.0,0.8571428571428571,-20.5143,-20.4545,-0.05979999999999919
15,33,0.0,1.4285714285714286,-26.3374,-25.4952,-0.8421999999999983
16,33,0.0,1.7142857142857142,-26.5859,-26.5288,-0.057099999999998374
17,33,0.0,1.7142857142857142,-21.0033,-21.0386,0.03529999999999944
18,33,0.0,1.4285714285714286,-9.3843,-8.5224,-0.8619000000000003
12,34,1.0,1.3333333333333333,8.3233,9.3547,-1.0313999999999997
13,34,-1.0,0.8333333333333334,-2.9976,-3.6573,0.6597000000000004
14,34,1.0,0.0,-19.9917,-20.1931,0.20139999999999958
15,34,-1.0,0.8333333333333334,-24.5487,-23.7379,-0.8108000000000004
16,34,1.0,1.3333333333333333,-29.9317,-29.8736,-0.058099999999999596
17,34,-1.0,1.5,-24.4401,-24.4918,0.0517000000000003
18,34,1.0,1.3333333333333333,-18.3783,-18.3806,0.002300000000001745
13,35,0.0,1.4285714285714286,-0.2237,-0.2168,-0.006900000000000017
14,35,0.0,0.8571428571428571,-14.3915,-15.0713,0.6798000000000002
15,35,0.0,0.0,-24.8578,-24.2047,-0.653100000000002
16,35,0.0,0.8,-28.8462,-28.7545,-0.09169999999999945
17,35,0.0,1.2,-29.0135,-28.6255,-0.3880000000000017
18,35,0.0,1.2,-23.0473,-22.8205,-0.22680000000000078
19,35,0.0,0.8,-11.1729,-10.8797,-0.29320000000000057
14,36,1.0,1.5,-12.4361,-12.7534,0.31729999999999947
15,36,-1.0,0.8333333333333334,-20.251,-20.4075,0.15649999999999764
16,36,1.0,0.0,-30.6641,-30.6017,-0.06240000000000023
17,36,-1.0,0.75,-29.522,-28.8414,-0.6805999999999983
18,36,1.0,1.0,-30.2315,-30.366,0.13449999999999918
19,36,-1.0,0.75,-17.4172,-16.7336,-0.683600000000002
20,36,1.0,0.0,-6.4512,-6.0585,-0.3926999999999996
15,37,0.0,1.4285714285714286,-18.996,-18.7015,-0.2944999999999993
16,37,0.0,0.8,-26.8964,-27.3112,0.4147999999999996
17,37,0.0,0.0,-31.7616,-31.4277,-0.33389999999999986
18,37,0.0,0.6666666666666666,-30.9477,-31.1991,0.2514000000000003
19,37,0.0,0.6666666666666666,-24.8002,-25.0907,0.290499999999998
20,37,0.0,0.0,-13.1361,-12.7074,-0.42870000000000097
15,38,-1.0,1.875,-14.6216,-14.6806,0.058999999999999275
16,38,1.0,1.3333333333333333,-26.8612,-26.9853,0.12409999999999854
17,38,-1.0,0.75,-29.7981,-29.4988,-0.29930000000000234
18,38,1.0,0.0,-34.7148,-35.1221,0.40730000000000643
19,38,-1.0,0.5,-28.8008,-29.2181,0.4173000000000009
20,38,1.0,0.0,-22.0585,-22.5009,0.4424000000000028
16,39,0.0,1.7142857142857142,-23.1627,-23.435,0.27229999999999777
17,39,0.0,1.2,-29.8002,-29.9294,0.12920000000000087
18,39,0.0,0.6666666666666666,-33.2422,-33.7694,0.5272000000000006
19,39,0.0,0.0,-33.8072,-33.9454,0.13819999999999766
20,39,0.0,0.0,-27.2827,-27.6059,0.32319999999999993
21,39,0.0,0.6666666666666666,-14.1727,-14.3353,0.1625999999999994
15,40,-1.0,1.875,-8.1392,-8.1317,-0.007500000000000284
16,40,1.0,2.0,-22.8378,-22.8719,0.03409999999999869
17,40,-1.0,1.5,-27.5578,-27.5145,-0.04329999999999856
18,40,1.0,1.0,-35.0399,-35.5487,0.5087999999999937
19,40,-1.0,0.5,-33.5355,-33.6938,0.1583000000000041
20,40,1.0,0.0,-34.8464,-35.3958,0.5493999999999986
21,40,-1.0,0.5,-20.5234,-20.647,0.12359999999999971
22,40,1.0,1.0,-8.9934,-9.0854,0.09200000000000053
16,41,0.0,1.7142857142857142,-19.0086,-18.7836,-0.22500000000000142
17,41,0.0,1.7142857142857142,-27.3072,-27.478,0.17079999999999984
18,41,0.0,1.2,-33.0675,-33.5292,0.46170000000000044
19,41,0.0,0.6666666666666666,-35.5595,-36.0953,0.5358000000000018
20,41,0.0,0.0,-35.1379,-35.4793,0.34140000000000015
21,41,0.0,0.0,-28.6424,-28.97,0.32760000000000034
22,41,0.0,0.6666666666666666,-15.6975,-16.0145,0.31700000000000195
15,42,-1.0,0.8333333333333334,1.0918,0.3276,0.7642000000000001
16,42,1.0,1.3333333333333333,-17.6377,-17.2268,-0.41089999999999804
17,42,-1.0,1.5,-24.8318,-24.6095,-0.2223000000000006
18,42,1.0,1.3333333333333333,-34.4227,-34.7047,0.2820000000000036
19,42,-1.0,0.75,-35.022,-35.28,0.25800000000000267
20,42,1.0,0.0,-38.5473,-39.1246,0.577300000000001
21,42,-1.0,0.5,-32.121,-32.8088,0.6877999999999957
22,42,1.0,0.0,-25.1044,-25.6893,0.5849000000000011
16,43,0.0,0.8,-12.1955,-12.1182,-0.07729999999999926
17,43,0.0,1.2,-24.1595,-23.6398,-0.5197000000000003
18,43,0.0,1.2,-32.0098,-32.2616,0.2518000000000029
19,43,0.0,0.8,-36.5754,-37.0623,0.48689999999999856
20,43,0.0,0.0,-38.4089,-38.906,0.4970999999999961
21,43,0.0,0.6666666666666666,-36.1882,-36.8216,0.6333999999999946
22,43,0.0,0.6666666666666666,-29.3156,-30.0444,0.7287999999999997
23,43,0.0,0.0,-17.9164,-18.1978,0.2814000000000014
16,44,1.0,0.0,-9.2042,-9.4937,0.2895000000000003
17,44,-1.0,0.75,-20.479,-19.9269,-0.5520999999999994
18,44,1.0,1.0,-32.6733,-32.5978,-0.07549999999999812
19,44,-1.0,0.75,-35.7815,-35.8515,0.07000000000000028
20,44,1.0,0.0,-41.4687,-41.948,0.47930000000000206
21,44,-1.0,0.75,-37.816,-37.7474,-0.06860000000000355
22,44,1.0,1.0,-37.5486,-37.9274,0.37879999999999825
23,44,-1.0,0.75,-23.8081,-23.7492,-0.058900000000001285
24,44,1.0,0.0,-13.4219,-13.6292,0.20730000000000004
18,45,0.0,0.6666666666666666,-29.7708,-29.5305,-0.2403000000000013
19,45,0.0,0.6666666666666666,-36.6156,-36.8357,0.22010000000000218
20,45,0.0,0.0,-40.8122,-41.242,0.4298000000000002
21,45,0.0,0.8,-41.0723,-41.4413,0.3689999999999998
22,45,0.0,1.2,-39.0103,-39.1231,0.11280000000000001
23,45,0.0,1.2,-31.8864,-32.0697,0.18329999999999913
24,45,0.0,0.8,-19.5148,-19.9068,0.39199999999999946
17,46,-1.0,0.75,-13.7349,-13.1127,-0.6221999999999994
18,46,1.0,0.0,-29.7713,-29.1726,-0.5987000000000009
19,46,-1.0,0.5,-35.4139,-35.0968,-0.3170999999999964
20,46,1.0,0.0,-43.1396,-43.5171,0.3774999999999977
21,46,-1.0,0.75,-41.7616,-41.807,0.04540000000000077
22,46,1.0,1.3333333333333333,-44.1283,-43.8784,-0.24990000000000379
