,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[0],4.862,26.601,-30.564,47.542,12.754,9.704,5.0,33.0,1.99
fc1_bias[1],1.706,10.061,-11.571,22.257,3.673,2.706,11.0,46.0,1.89
fc1_bias[2],0.245,17.33,-26.698,31.216,7.974,6.029,5.0,30.0,2.26
fc1_bias[3],11.37,19.452,-5.847,73.307,8.15,6.087,6.0,12.0,2.35
fc1_bias[4],-1.074,3.942,-8.639,4.096,1.792,1.353,5.0,17.0,2.06
fc1_bias[5],14.6,9.511,3.061,34.526,3.64,2.692,7.0,32.0,1.67
fc1_bias[6],-5.305,8.066,-22.327,5.442,2.441,1.775,11.0,20.0,1.31
fc1_bias[7],-5.135,16.148,-45.69,19.54,7.155,5.381,5.0,15.0,2.33
fc1_bias[8],2.752,7.756,-9.756,13.151,3.571,2.7,5.0,23.0,2.1
fc1_bias[9],-2.71,5.882,-13.055,6.777,2.731,2.067,5.0,28.0,2.51
fc1_bias[10],-7.65,13.429,-29.135,12.066,5.717,4.278,7.0,115.0,1.6
fc1_bias[11],-20.168,13.359,-44.906,-2.54,5.259,3.901,6.0,33.0,1.67
fc1_bias[12],-11.487,20.253,-44.139,18.133,9.817,7.482,5.0,24.0,2.86
fc1_bias[13],-3.983,4.439,-10.133,2.603,2.024,1.528,6.0,19.0,1.91
fc1_bias[14],6.775,34.577,-59.619,62.453,15.772,11.909,5.0,16.0,2.27
fc1_bias[15],9.375,13.487,-8.403,36.016,4.562,3.34,8.0,34.0,1.47
fc1_bias[16],9.762,12.742,-9.316,32.35,6.019,4.569,5.0,22.0,2.71
fc1_bias[17],-3.425,13.516,-28.744,12.021,6.021,4.531,6.0,27.0,2.23
fc1_bias[18],-7.64,9.524,-27.033,5.648,4.124,3.093,5.0,31.0,2.01
fc1_bias[19],-10.422,12.481,-34.791,10.19,5.246,3.919,6.0,36.0,1.8
fc1_bias[20],-3.989,23.55,-40.858,42.505,11.322,8.618,5.0,26.0,2.34
fc1_bias[21],-2.261,12.617,-20.898,23.015,3.711,2.693,12.0,20.0,1.39
fc1_bias[22],-1.572,5.556,-13.303,4.617,2.664,2.027,5.0,22.0,2.46
fc1_bias[23],0.669,12.801,-19.42,19.36,5.644,4.242,7.0,64.0,1.64
fc1_bias[24],-1.522,18.53,-35.761,32.792,8.789,6.676,5.0,35.0,2.89
fc1_bias[25],17.911,14.36,-4.712,38.232,6.156,4.61,7.0,24.0,1.56
fc1_bias[26],-9.988,33.863,-82.181,43.204,16.446,12.539,4.0,13.0,3.28
fc1_bias[27],1.084,19.281,-30.465,31.87,9.049,6.862,5.0,30.0,2.35
fc1_bias_precision,0.005,0.003,0.001,0.011,0.001,0.001,6.0,18.0,1.74
"fc1_weight[0, 0]",-0.45,0.475,-1.361,0.297,0.17,0.125,8.0,33.0,1.47
"fc1_weight[0, 1]",0.159,0.472,-0.607,0.865,0.227,0.173,5.0,28.0,2.33
"fc1_weight[0, 2]",0.104,0.309,-0.422,0.719,0.088,0.064,13.0,136.0,1.24
"fc1_weight[0, 3]",-0.074,0.679,-1.396,1.109,0.235,0.172,9.0,15.0,1.4
"fc1_weight[1, 0]",-0.07,0.795,-1.478,1.014,0.359,0.271,6.0,50.0,1.95
"fc1_weight[1, 1]",-0.138,0.48,-0.902,0.76,0.206,0.155,7.0,41.0,1.66
"fc1_weight[1, 2]",0.082,0.421,-0.826,0.822,0.113,0.082,12.0,19.0,1.28
"fc1_weight[1, 3]",0.044,0.945,-1.595,1.283,0.41,0.307,7.0,86.0,1.67
"fc1_weight[2, 0]",0.398,0.784,-0.784,1.94,0.337,0.253,6.0,43.0,1.69
"fc1_weight[2, 1]",-0.001,0.622,-0.794,1.252,0.276,0.208,7.0,39.0,1.86
"fc1_weight[2, 2]",-0.037,0.495,-0.851,0.83,0.175,0.129,8.0,90.0,1.43
"fc1_weight[2, 3]",-0.11,0.837,-1.312,1.512,0.334,0.248,7.0,41.0,1.53
"fc1_weight[3, 0]",0.272,0.339,-0.441,0.804,0.097,0.07,10.0,41.0,1.32
"fc1_weight[3, 1]",-0.1,0.399,-0.67,0.805,0.158,0.118,6.0,19.0,1.81
"fc1_weight[3, 2]",-0.307,0.391,-0.867,0.53,0.134,0.098,12.0,32.0,1.32
"fc1_weight[3, 3]",-0.047,0.383,-0.562,0.848,0.108,0.078,9.0,40.0,1.35
"fc1_weight[4, 0]",0.014,0.533,-0.852,0.811,0.251,0.19,5.0,48.0,2.03
"fc1_weight[4, 1]",-0.022,0.222,-0.351,0.364,0.101,0.077,6.0,25.0,1.76
"fc1_weight[4, 2]",-0.285,0.484,-1.29,0.342,0.22,0.166,7.0,28.0,1.58
"fc1_weight[4, 3]",0.859,0.585,-0.06,1.884,0.247,0.184,6.0,36.0,1.81
"fc1_weight[5, 0]",-0.621,0.66,-1.734,0.299,0.291,0.219,6.0,16.0,1.99
"fc1_weight[5, 1]",-0.091,0.306,-0.725,0.362,0.111,0.082,7.0,20.0,1.59
"fc1_weight[5, 2]",0.088,0.342,-0.671,0.689,0.11,0.08,9.0,40.0,1.37
"fc1_weight[5, 3]",0.509,0.704,-0.873,1.699,0.292,0.218,6.0,38.0,1.92
