,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[13, 0]",-1.268,17.66,-28.976,26.944,8.429,6.409,5.0,22.0,2.33
"fc1_weight[13, 1]",-2.954,17.214,-36.779,19.239,8.235,6.264,5.0,30.0,2.26
"fc1_weight[13, 2]",-7.305,9.467,-24.918,1.462,4.397,3.329,5.0,29.0,2.07
"fc1_weight[13, 3]",0.047,0.866,-1.174,1.854,0.348,0.259,7.0,20.0,1.53
"fc1_weight[14, 0]",-3.666,10.116,-22.887,9.325,4.372,3.277,6.0,41.0,1.83
"fc1_weight[14, 1]",-2.125,7.169,-16.512,9.233,3.134,2.353,6.0,26.0,1.9
"fc1_weight[14, 2]",3.641,7.255,-2.408,21.407,3.366,2.548,6.0,27.0,1.83
"fc1_weight[14, 3]",-2.637,4.309,-10.821,0.755,1.663,1.231,6.0,28.0,1.78
"fc1_weight[15, 0]",-1.134,13.292,-24.141,19.929,6.213,4.708,5.0,26.0,2.14
"fc1_weight[15, 1]",-0.26,18.34,-28.697,35.292,8.668,6.58,5.0,28.0,2.23
"fc1_weight[15, 2]",-1.252,8.817,-21.292,12.892,3.926,2.954,5.0,30.0,2.33
"fc1_weight[15, 3]",0.192,1.046,-1.223,2.642,0.241,0.173,15.0,38.0,1.19
"fc1_weight[16, 0]",-9.613,19.34,-38.888,22.494,8.948,6.77,5.0,36.0,2.1
"fc1_weight[16, 1]",-1.253,10.921,-20.102,13.225,4.51,3.363,8.0,85.0,1.5
"fc1_weight[16, 2]",1.797,9.475,-15.805,26.043,3.684,2.729,6.0,12.0,1.74
"fc1_weight[16, 3]",-0.763,5.127,-13.626,4.903,0.98,0.701,8.0,12.0,1.61
"fc1_weight[17, 0]",-0.287,20.947,-30.263,36.361,10.142,7.728,5.0,23.0,2.51
"fc1_weight[17, 1]",1.098,20.252,-27.748,29.747,9.807,7.474,5.0,33.0,2.07
"fc1_weight[17, 2]",-1.36,3.468,-6.388,2.266,1.476,1.104,5.0,12.0,2.58
"fc1_weight[17, 3]",-0.053,0.563,-1.041,1.264,0.122,0.097,17.0,13.0,1.22
"fc1_weight[18, 0]",-9.316,13.277,-31.608,10.158,6.389,4.863,5.0,25.0,2.64
"fc1_weight[18, 1]",0.532,20.441,-40.902,23.242,9.913,7.556,6.0,30.0,1.93
"fc1_weight[18, 2]",-0.272,2.341,-5.016,2.768,1.083,0.82,5.0,25.0,2.53
"fc1_weight[18, 3]",-0.257,0.486,-1.11,0.578,0.214,0.161,6.0,23.0,1.9
"fc1_weight[19, 0]",18.423,14.292,0.332,43.761,6.501,4.907,5.0,19.0,2.11
"fc1_weight[19, 1]",-8.434,8.414,-24.131,1.512,3.745,2.818,5.0,27.0,2.08
"fc1_weight[19, 2]",-1.569,1.734,-5.055,0.299,0.72,0.537,7.0,31.0,1.59
"fc1_weight[19, 3]",0.317,0.411,-0.313,1.149,0.153,0.113,7.0,30.0,1.49
"fc1_weight[20, 0]",-1.686,14.316,-25.653,20.605,6.76,5.131,5.0,24.0,2.21
"fc1_weight[20, 1]",6.084,19.982,-22.976,40.51,9.755,7.443,5.0,25.0,2.88
"fc1_weight[20, 2]",2.831,5.442,-2.21,13.992,2.565,1.946,5.0,31.0,2.28
"fc1_weight[20, 3]",-0.615,1.046,-2.935,0.588,0.49,0.372,6.0,20.0,1.82
"fc1_weight[21, 0]",2.874,9.641,-11.388,22.067,4.029,3.008,6.0,17.0,1.72
"fc1_weight[21, 1]",7.949,19.119,-28.004,35.843,8.817,6.668,5.0,22.0,2.13
"fc1_weight[21, 2]",2.574,6.877,-6.676,15.378,3.0,2.251,6.0,29.0,2.1
"fc1_weight[21, 3]",0.642,6.452,-10.317,12.484,3.028,2.296,5.0,21.0,2.6
"fc1_weight[22, 0]",6.542,8.688,-8.778,24.832,3.581,2.67,6.0,26.0,1.9
"fc1_weight[22, 1]",-1.231,14.805,-27.576,23.963,6.796,5.136,5.0,23.0,2.2
"fc1_weight[22, 2]",6.632,12.152,-11.964,26.674,5.721,4.34,5.0,22.0,2.11
"fc1_weight[22, 3]",-0.886,5.728,-12.491,8.588,2.602,1.963,5.0,29.0,2.62
"fc1_weight[23, 0]",-4.269,21.815,-40.092,32.889,10.438,7.939,5.0,29.0,2.59
"fc1_weight[23, 1]",2.509,15.86,-23.42,27.178,7.484,5.68,5.0,32.0,2.24
"fc1_weight[23, 2]",0.31,6.122,-12.223,11.595,2.718,2.045,5.0,30.0,2.74
"fc1_weight[23, 3]",0.743,8.651,-13.694,19.541,3.834,2.883,5.0,27.0,2.85
"fc1_weight[24, 0]",0.92,11.116,-13.771,23.381,5.34,4.064,5.0,26.0,2.46
"fc1_weight[24, 1]",11.009,8.868,0.085,27.58,4.241,3.225,5.0,23.0,2.55
"fc1_weight[24, 2]",-0.669,0.833,-2.208,0.23,0.389,0.294,6.0,31.0,1.81
"fc1_weight[24, 3]",0.315,0.369,-0.38,0.988,0.16,0.12,5.0,20.0,2.02
"fc1_weight[25, 0]",0.805,6.821,-12.423,11.725,3.059,2.305,5.0,13.0,2.19
"fc1_weight[25, 1]",-9.83,11.528,-30.679,7.646,5.324,4.028,5.0,19.0,2.4
"fc1_weight[25, 2]",2.07,2.493,-0.459,6.737,1.112,0.837,5.0,16.0,2.35
"fc1_weight[25, 3]",0.04,0.277,-0.504,0.624,0.03,0.031,103.0,69.0,1.23
"fc1_weight[26, 0]",12.819,6.747,2.406,25.581,2.664,1.977,6.0,31.0,1.68
"fc1_weight[26, 1]",-8.475,11.023,-26.194,6.048,5.148,3.901,5.0,28.0,2.19
"fc1_weight[26, 2]",-3.659,6.991,-18.35,1.002,3.157,2.381,5.0,30.0,2.55
"fc1_weight[26, 3]",-0.101,0.676,-1.263,0.84,0.298,0.224,6.0,55.0,1.74
"fc1_weight[27, 0]",-11.054,20.768,-56.098,23.054,9.331,7.031,6.0,11.0,1.87
"fc1_weight[27, 1]",-3.556,14.132,-28.964,21.164,5.073,3.732,7.0,15.0,1.52
"fc1_weight[27, 2]",-0.421,3.535,-7.071,4.015,1.281,0.943,7.0,15.0,1.6
"fc1_weight[27, 3]",-0.731,3.045,-7.849,2.151,1.025,0.75,6.0,31.0,1.65
fc1_weight_precision,0.008,0.004,0.002,0.015,0.002,0.001,6.0,31.0,1.88
fc2_bias[0],-0.359,0.312,-0.968,0.258,0.118,0.087,7.0,14.0,1.59
fc2_bias_precision,1.357,1.11,0.004,3.345,0.012,0.009,5375.0,4010.0,1.0
"fc2_weight[0, 0]",-0.077,0.289,-0.506,0.346,0.136,0.103,6.0,33.0,1.94
"fc2_weight[0, 1]",0.095,0.201,-0.304,0.292,0.098,0.075,6.0,30.0,1.75
"fc2_weight[0, 2]",0.307,0.364,-0.229,0.922,0.177,0.135,5.0,20.0,2.53
"fc2_weight[0, 3]",0.237,0.728,-0.676,1.523,0.356,0.272,5.0,26.0,2.63
"fc2_weight[0, 4]",0.324,0.183,0.049,0.605,0.083,0.063,5.0,25.0,2.09
"fc2_weight[0, 5]",-0.037,0.335,-0.646,0.419,0.164,0.125,5.0,27.0,2.85
"fc2_weight[0, 6]",0.118,0.26,-0.363,0.505,0.118,0.089,5.0,23.0,2.3
"fc2_weight[0, 7]",-0.167,0.284,-0.55,0.37,0.137,0.104,5.0,31.0,2.1
"fc2_weight[0, 8]",0.159,0.343,-0.455,0.604,0.162,0.123,5.0,15.0,2.01
"fc2_weight[0, 9]",-0.38,0.257,-0.747,0.101,0.12,0.091,5.0,11.0,2.01
"fc2_weight[0, 10]",0.204,0.323,-0.207,0.83,0.156,0.119,5.0,28.0,2.77
"fc2_weight[0, 11]",0.148,0.129,-0.121,0.348,0.053,0.04,6.0,19.0,1.78
"fc2_weight[0, 12]",-0.074,0.249,-0.393,0.36,0.12,0.091,5.0,24.0,2.35
"fc2_weight[0, 13]",-0.014,0.326,-0.358,0.639,0.159,0.122,5.0,21.0,2.0
"fc2_weight[0, 14]",-0.307,0.307,-0.811,0.118,0.148,0.113,5.0,22.0,2.6
"fc2_weight[0, 15]",-0.194,0.196,-0.453,0.143,0.093,0.071,5.0,27.0,2.07
"fc2_weight[0, 16]",-0.004,0.297,-0.513,0.332,0.139,0.105,5.0,37.0,2.07
"fc2_weight[0, 17]",-0.017,0.259,-0.378,0.331,0.127,0.097,5.0,18.0,2.17
"fc2_weight[0, 18]",-0.042,0.348,-0.524,0.463,0.17,0.13,5.0,27.0,2.13
"fc2_weight[0, 19]",0.324,0.88,-0.489,1.996,0.433,0.331,5.0,30.0,2.19
"fc2_weight[0, 20]",0.085,0.302,-0.514,0.478,0.143,0.108,5.0,22.0,2.09
"fc2_weight[0, 21]",-0.303,0.545,-1.316,0.463,0.267,0.204,5.0,18.0,2.85
"fc2_weight[0, 22]",-0.298,0.133,-0.53,-0.089,0.051,0.038,6.0,27.0,1.65
"fc2_weight[0, 23]",-0.21,0.196,-0.458,0.146,0.093,0.071,6.0,28.0,1.94
"fc2_weight[0, 24]",0.153,0.445,-0.737,0.641,0.216,0.165,6.0,28.0,1.84
"fc2_weight[0, 25]",0.214,0.448,-0.363,0.892,0.218,0.166,5.0,14.0,2.43
"fc2_weight[0, 26]",-0.404,0.349,-0.898,0.164,0.164,0.124,5.0,20.0,2.13
"fc2_weight[0, 27]",-0.146,0.273,-0.578,0.252,0.127,0.097,5.0,47.0,2.07
fc2_weight_precision,4.784,1.999,1.549,8.44,0.713,0.524,8.0,41.0,1.47
noise_precision,24.086,1.047,22.174,26.101,0.296,0.216,13.0,38.0,1.21
