,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc2_weight[0, 0]",0.177,0.249,-0.251,0.553,0.122,0.093,5.0,27.0,2.72
"fc2_weight[0, 1]",0.131,0.26,-0.199,0.658,0.124,0.094,5.0,13.0,2.7
"fc2_weight[0, 2]",0.145,0.295,-0.344,0.725,0.139,0.105,5.0,31.0,2.36
"fc2_weight[0, 3]",0.171,0.3,-0.297,0.634,0.146,0.111,5.0,23.0,2.85
"fc2_weight[0, 4]",0.106,0.321,-0.492,0.564,0.157,0.12,5.0,14.0,3.06
"fc2_weight[0, 5]",-0.066,0.299,-0.377,0.563,0.145,0.111,5.0,13.0,2.11
"fc2_weight[0, 6]",0.215,0.225,-0.179,0.564,0.108,0.082,5.0,14.0,2.24
"fc2_weight[0, 7]",-0.192,0.165,-0.56,-0.029,0.074,0.056,5.0,22.0,2.23
"fc2_weight[0, 8]",0.123,0.165,-0.107,0.431,0.076,0.058,5.0,23.0,2.38
"fc2_weight[0, 9]",-0.047,0.285,-0.526,0.272,0.139,0.106,5.0,16.0,2.22
"fc2_weight[0, 10]",0.048,0.299,-0.411,0.503,0.141,0.107,5.0,24.0,2.47
"fc2_weight[0, 11]",0.185,0.167,-0.098,0.473,0.078,0.059,5.0,22.0,2.48
"fc2_weight[0, 12]",0.004,0.368,-0.601,0.555,0.18,0.138,5.0,25.0,2.92
"fc2_weight[0, 13]",0.217,0.574,-0.327,1.293,0.283,0.216,5.0,32.0,2.34
"fc2_weight[0, 14]",0.064,0.2,-0.303,0.35,0.094,0.071,6.0,43.0,2.03
"fc2_weight[0, 15]",0.099,0.158,-0.256,0.316,0.069,0.052,6.0,13.0,1.94
"fc2_weight[0, 16]",0.109,0.233,-0.323,0.377,0.114,0.087,5.0,22.0,2.41
"fc2_weight[0, 17]",-0.046,0.215,-0.375,0.307,0.103,0.079,5.0,34.0,2.5
"fc2_weight[0, 18]",-0.181,0.073,-0.315,-0.069,0.024,0.018,9.0,42.0,1.37
"fc2_weight[0, 19]",0.002,0.182,-0.192,0.337,0.087,0.066,5.0,27.0,2.17
"fc2_weight[0, 20]",0.212,0.225,-0.154,0.534,0.11,0.084,5.0,25.0,2.65
"fc2_weight[0, 21]",0.196,0.299,-0.25,0.785,0.146,0.112,5.0,13.0,2.78
"fc2_weight[0, 22]",0.203,0.364,-0.376,0.8,0.178,0.136,5.0,20.0,2.89
"fc2_weight[0, 23]",-0.064,0.258,-0.519,0.38,0.123,0.094,5.0,14.0,2.78
"fc2_weight[0, 24]",0.022,0.332,-0.406,0.529,0.163,0.125,5.0,16.0,2.51
"fc2_weight[0, 25]",-0.035,0.293,-0.368,0.598,0.14,0.107,5.0,12.0,2.06
"fc2_weight[0, 26]",0.064,0.259,-0.359,0.402,0.125,0.095,5.0,26.0,2.15
"fc2_weight[0, 27]",-0.053,0.348,-0.483,0.671,0.167,0.127,5.0,12.0,2.29
fc2_weight_precision,14.576,7.543,3.02,27.649,3.073,2.288,6.0,19.0,1.83
noise_precision,23.363,1.517,20.694,26.262,0.626,0.468,6.0,14.0,1.74
