,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[13, 0]",-1.09,5.989,-10.25,9.496,2.841,2.158,5.0,28.0,2.41
"fc1_weight[13, 1]",1.951,13.686,-18.807,20.978,6.666,5.085,5.0,27.0,2.08
"fc1_weight[13, 2]",-2.068,3.62,-9.455,1.152,1.74,1.325,5.0,22.0,2.83
"fc1_weight[13, 3]",-4.01,7.536,-19.044,1.65,3.661,2.792,5.0,24.0,2.87
"fc1_weight[14, 0]",-0.14,8.377,-15.843,12.74,4.03,3.067,5.0,24.0,2.81
"fc1_weight[14, 1]",-5.0,3.215,-10.351,0.643,1.331,0.993,6.0,28.0,1.79
"fc1_weight[14, 2]",-1.201,2.21,-5.959,0.56,0.936,0.7,5.0,25.0,2.25
"fc1_weight[14, 3]",-2.129,4.969,-12.993,1.439,2.213,1.665,6.0,22.0,1.94
"fc1_weight[15, 0]",-3.979,10.436,-21.726,15.139,4.912,3.726,5.0,25.0,2.51
"fc1_weight[15, 1]",2.537,10.428,-9.671,23.339,5.0,3.804,5.0,34.0,2.11
"fc1_weight[15, 2]",0.092,0.551,-0.829,1.432,0.221,0.164,7.0,15.0,1.63
"fc1_weight[15, 3]",1.234,1.618,-1.293,3.949,0.753,0.571,5.0,31.0,2.36
"fc1_weight[16, 0]",-4.411,4.526,-12.762,3.914,1.598,1.174,8.0,37.0,1.41
"fc1_weight[16, 1]",1.131,14.132,-18.815,26.347,6.783,5.162,5.0,27.0,2.29
"fc1_weight[16, 2]",-0.273,1.115,-2.132,1.173,0.423,0.313,5.0,17.0,1.96
"fc1_weight[16, 3]",0.689,6.156,-7.47,12.682,2.865,2.17,5.0,19.0,2.85
"fc1_weight[17, 0]",3.945,4.528,-2.122,12.6,2.045,1.542,5.0,29.0,2.46
"fc1_weight[17, 1]",-2.32,3.883,-7.969,4.561,1.715,1.289,6.0,33.0,1.78
"fc1_weight[17, 2]",-0.007,0.642,-0.809,0.783,0.071,0.051,13.0,24.0,1.62
"fc1_weight[17, 3]",-1.792,4.231,-10.536,1.594,1.912,1.442,5.0,25.0,2.89
"fc1_weight[18, 0]",5.743,10.408,-11.538,23.648,4.857,3.68,5.0,32.0,2.38
"fc1_weight[18, 1]",0.076,10.829,-16.477,19.821,5.099,3.869,5.0,26.0,2.5
"fc1_weight[18, 2]",-0.007,1.153,-2.274,1.656,0.452,0.335,6.0,29.0,1.69
"fc1_weight[18, 3]",-0.867,2.088,-4.914,2.33,0.951,0.718,5.0,21.0,2.66
